Hogar;Persona;Viaje;Etapas;ComunaOrigen;ComunaDestino;SectorOrigen;SectorDestino;ZonaOrigen;ZonaDestino;OrigenCoordX;OrigenCoordY;DestinoCoordX;DestinoCoordY;Proposito;PropositoAgregado;ActividadDestino;MediosUsados;ModoAgregado;ModoPriPub;ModoMotor;HoraIni;HoraFin;HoraMedia;TiempoViaje;TiempoMedio;Periodo;MinutosDespues;CuadrasDespues;FactorLaboralNormal;FactorSabadoNormal;FactorDomingoNormal;FactorLaboralEstival;FactorFindesemanaEstival;CodigoTiempo
173462;17346205;1734620501;1;4;1;4;1;4;1;-66,86681876;-12,58491;-66,973425;-12,585755;3;2;;6;16;3;1;07:50;08:10;08:00;20;1;2;;;1;;;;;0
173462;17346205;1734620502;1;5;2;5;2;5;2;-66,973425;-12,585755;-66,86681876;-12,58491;7;2;;6;16;3;1;15:00;15:20;15:10;20;1;5;;;1;;;;;0
173462;17346206;1734620601;2;6;3;6;3;6;3;-66,86681876;-12,58491;-66,63648126;-12,606561;1;1;5;"5;14";16;2;1;11:00;12:00;11:30;60;2;3;5;1;1;;;;;0
173462;17346206;1734620602;1;7;4;7;4;7;4;-66,63648126;-12,606561;-66,86681876;-12,58491;7;1;;17;1;1;1;22:00;22:40;22:20;40;2;5;0;0;1,48210391;;;;;0
173471;17347101;1734710101;2;8;5;8;5;8;5;-66,86171876;-12,585124;-68,97331876;-12,595554;8;3;;"7;7";6;1;1;07:00;09:00;08:00;120;4;2;0;0;1,04307354;;;;;0
173471;17347101;1734710102;2;9;6;9;6;9;6;-68,97331876;-12,595554;-66,86171876;-12,585124;7;3;;"4;5";11;2;1;18:00;19:30;18:45;90;3;4;5;1;1,05276356;;;;;0
173471;17347102;1734710201;1;1;7;1;7;1;7;-66,853075;-12,585226;-68,97331876;-12,595554;1;1;5;7;6;1;1;07:00;08:10;07:35;70;3;2;0;0;1,04307354;;;;;0
173471;17347102;1734710202;2;2;8;2;8;2;8;-68,97331876;-12,595554;-66,86171876;-12,585124;7;1;;"4;5";11;2;1;17:00;18:40;17:50;100;4;4;10;2;1,05276356;;;;;0
173481;17348101;1734810101;2;3;9;3;9;3;9;-66,86180626;-12,585174;-69,31805;-12,596514;1;1;5;"2;4";9;2;1;07:20;08:50;08:05;90;3;2;30;6;0,81790735;;;;;0
173481;17348101;1734810102;2;4;1;4;1;4;1;-69,31805;-12,596514;-66,8594375;-12,585099;7;1;;"4;2";9;2;1;18:00;19:50;18:55;110;4;4;10;2;1,05276356;;;;;0
173481;17348101;1734810103;1;5;2;5;2;5;2;;;;;11;3;;8;17;5;2;20:30;21:05;20:47;35;2;5;35;7;1,48210391;;;;;0
173481;17348101;1734810104;1;6;3;6;3;6;3;;;;;7;3;;8;17;5;2;22:00;22:30;22:15;30;1;5;35;7;1,48210391;;;;;0
173481;17348103;1734810301;2;7;4;7;4;7;4;-66,8594375;-12,585099;-69,4599125;-12,598779;3;2;;"2;4";9;2;1;08:00;09:00;08:30;60;2;2;20;4;1;;;;;0
173481;17348103;1734810302;2;8;5;8;5;8;5;-69,4599125;-12,598779;-66,8594375;-12,585099;7;2;;"4;2";9;2;1;16:00;17:25;16:43;85;3;5;10;2;1,12721985;;;;;0
173481;17348104;1734810401;2;9;6;9;6;9;6;-66,8594375;-12,585099;-69,4599125;-12,598779;3;2;;"2;4";9;2;1;13:00;14:10;13:35;70;3;5;20;4;1,12721985;;;;;0
173481;17348104;1734810402;2;1;7;1;7;1;7;-69,4599125;-12,598779;-66,8594375;-12,585099;7;2;;"4;2";9;2;1;18:00;19:30;18:45;90;3;4;10;2;1,05276356;;;;;0
173502;17350201;1735020101;1;2;8;2;8;2;8;-67,72345;-12,586157;-67,70795626;-12,581724;11;3;;2;2;2;1;09:00;09:30;09:15;30;1;5;5;2;;;;;1;
173502;17350201;1735020102;1;3;9;3;9;3;9;-67,70795626;-12,581724;-67,72345;-12,586157;7;3;;2;2;2;1;10:00;10:20;10:10;20;1;3;2;1;;;;;1;
173502;17350201;1735020103;1;4;1;4;1;4;1;-67,72345;-12,586157;-67,24896876;-12,581392;14;3;;2;2;2;1;15:00;15:45;15:23;45;2;5;2;1;;;;;1;
173502;17350201;1735020104;1;5;2;5;2;5;2;-67,24896876;-12,581392;-67,72345;-12,586157;7;3;;2;2;2;1;17:20;18:00;17:40;40;2;4;2;1;;;;;1;
173502;17350201;1735020105;1;6;3;6;3;6;3;-67,72345;-12,586157;-67,45163126;-12,583761;11;3;;2;2;2;1;19:00;19:25;19:13;25;1;4;5;2;;;;;1;
173502;17350201;1735020106;1;7;4;7;4;7;4;-67,45163126;-12,583761;-67,72345;-12,586157;7;3;;2;2;2;1;20:35;21:00;20:47;25;1;5;2;1;;;;;1;
173502;17350202;1735020201;1;8;5;8;5;8;5;-67,72345;-12,586157;-67,70795626;-12,581724;11;3;;2;2;2;1;09:00;09:30;09:15;30;1;5;5;2;;;;;1;
173502;17350202;1735020202;1;9;6;9;6;9;6;-67,70795626;-12,581724;-67,72345;-12,586157;7;3;;2;2;2;1;10:00;10:20;10:10;20;1;3;2;1;;;;;1;
173502;17350202;1735020203;1;1;7;1;7;1;7;-67,72345;-12,586157;-67,24896876;-12,581392;14;3;;2;2;2;1;15:00;15:45;15:23;45;2;5;2;1;;;;;1;
173502;17350202;1735020204;1;2;8;2;8;2;8;-67,24896876;-12,581392;-67,72345;-12,586157;7;3;;2;2;2;1;17:20;18:00;17:40;40;2;4;2;1;;;;;1;
173502;17350202;1735020205;1;3;9;3;9;3;9;-67,72345;-12,586157;-67,45163126;-12,583761;11;3;;2;2;2;1;19:00;19:25;19:13;25;1;4;5;2;;;;;1;
173502;17350202;1735020206;1;4;1;4;1;4;1;-67,45163126;-12,583761;-67,72345;-12,586157;7;3;;2;2;2;1;20:35;21:00;20:47;25;1;5;2;1;;;;;1;
173502;17350203;1735020301;3;5;2;5;2;5;2;-67,72345;-12,586157;-68,9081375;-12,612653;11;3;;"2;3;2";2;2;1;15:00;16:00;15:30;60;2;5;2;1;;;;;1;
173502;17350203;1735020302;1;6;3;6;3;6;3;-68,9081375;-12,612653;-67,72345;-12,586157;7;3;;5;5;2;1;21:00;21:20;21:10;20;1;5;5;2;;;;;1,48210391;
173502;17350204;1735020401;1;7;4;7;4;7;4;-67,72345;-12,586157;-69,15671876;-12,590707;13;3;;3;2;2;1;09:20;10:00;09:40;40;2;5;10;3;;;;;1;
173502;17350204;1735020402;1;8;5;8;5;8;5;-69,15671876;-12,590707;-67,70085626;-12,58774;13;3;;3;2;2;1;13:00;13:40;13:20;40;2;5;0;0;;;;;1;
173502;17350204;1735020403;1;9;6;9;6;9;6;-67,70085626;-12,58774;-67,72345;-12,586157;7;3;;2;2;2;1;22:00;22:30;22:15;30;1;5;5;2;;;;;1;
173502;17350205;1735020501;3;1;7;1;7;1;7;-67,72345;-12,586157;-68,9081375;-12,612653;11;3;;"2;3;2";2;2;1;15:00;16:00;15:30;60;2;5;2;1;;;;;1;
173502;17350205;1735020502;1;2;8;2;8;2;8;-68,9081375;-12,612653;-67,72345;-12,586157;7;3;;5;5;2;1;21:00;21:20;21:10;20;1;5;5;2;;;;;1,48210391;
173502;17350206;1735020601;1;3;9;3;9;3;9;-67,72345;-12,586157;-69,15671876;-12,590707;13;3;;3;2;2;1;09:20;10:00;09:40;40;2;5;5;3;;;;;1;
173502;17350206;1735020602;1;4;1;4;1;4;1;-69,15671876;-12,590707;-67,70085626;-12,58774;13;3;;3;2;2;1;13:00;13:40;13:20;40;2;5;0;0;;;;;1;
173502;17350206;1735020603;1;5;2;5;2;5;2;-67,70085626;-12,58774;-67,72345;-12,586157;7;3;;2;2;2;1;22:00;22:30;22:15;30;1;5;5;2;;;;;1;
173502;17350207;1735020701;1;6;3;6;3;6;3;-67,72345;-12,586157;0;0;12;3;;8;17;5;2;16:30;16:40;16:35;10;1;5;10;3;;;;;1,48210391;
173502;17350207;1735020702;1;7;4;7;4;7;4;0;0;-67,72345;-12,586157;7;3;;8;17;5;2;16:45;16:55;16:50;10;1;5;10;3;;;;;1,48210391;
173502;17350207;1735020703;1;8;5;8;5;8;5;-67,72345;-12,586157;-67,37455;-12,58848;11;3;;2;2;2;1;17:00;17:40;17:20;40;2;5;10;5;;;;;1;
100140;10014002;1001400202;2;9;6;9;6;9;6;-70,00396876;-12,600776;-67,7803;-12,525785;7;1;;"4;14";10;2;1;18:30;20:00;19:15;90;3;4;10;3;1,05276356;;;;;0
100140;10014003;1001400301;1;1;7;1;7;1;7;-67,7803;-12,525785;-67,8336625;-12,532311;12;3;;5;5;2;1;10:00;10:10;10:05;10;1;3;0;0;1,48210391;;;;;0
100140;10014003;1001400302;1;2;8;2;8;2;8;-67,8336625;-12,532311;-67,7803;-12,525785;7;3;;14;3;2;1;10:40;11:00;10:50;20;1;3;9;3;1;;;;;0
100161;10016101;1001610101;1;3;9;3;9;3;9;;;;;11;3;;8;17;5;2;16:00;16:10;16:05;10;1;5;10;6;1,48210391;;;;;0
100161;10016101;1001610102;1;4;1;4;1;4;1;;;;;7;3;;8;17;5;2;17:10;17:20;17:15;10;1;5;10;6;1,48210391;;;;;0
100170;10017001;1001700101;1;5;2;5;2;5;2;-67,73441876;-12,533193;-67,6655375;-12,529589;1;1;2;8;17;5;2;10:00;10:20;10:10;20;1;3;20;10;;;;1,482103914;;
100170;10017001;1001700102;1;6;3;6;3;6;3;-67,6655375;-12,529589;-67,73441876;-12,533193;7;1;;8;17;5;2;23:30;23:50;23:40;20;1;6;20;10;;;;1,482103914;;
100170;10017002;1001700201;1;7;4;7;4;7;4;-67,73441876;-12,533193;-69,2659;-12,599452;2;1;2;1;1;1;1;10:00;10:25;10:12;25;1;3;0;0;;;;1,482103914;;
100170;10017002;1001700202;1;8;5;8;5;8;5;-69,2659;-12,599452;-67,73441876;-12,533193;7;1;;1;1;1;1;15:25;16:00;15:42;35;2;5;0;0;;;;1,482103914;;
100180;10018001;1001800101;1;9;6;9;6;9;6;-67,77196876;-12,537343;-67,78589376;-12,529795;1;1;1;9;18;5;2;05:30;05:50;05:40;20;1;6;;;1,48210391;;;;;0
100180;10018001;1001800102;1;1;7;1;7;1;7;-67,78589376;-12,529795;-67,77196876;-12,537343;7;1;;9;18;5;2;14:00;14:35;14:18;35;2;5;;;1,48210391;;;;;0
100180;10018001;1001800103;1;2;8;2;8;2;8;-67,77196876;-12,537343;-67,14483126;-12,532439;8;3;;14;3;2;1;15:30;16:10;15:50;40;2;5;0;0;1;;;;;0
100180;10018001;1001800104;2;3;9;3;9;3;9;-67,14483126;-12,532439;-67,77196876;-12,537343;7;3;;"14;14";3;2;1;16:20;17:00;16:40;40;2;5;10;3;1;;;;;0
100180;10018002;1001800201;1;4;1;4;1;4;1;-67,77196876;-12,537343;-67,14483126;-12,532439;8;3;;14;3;2;1;07:30;08:00;07:45;30;1;2;0;0;1;;;;;0
100180;10018002;1001800202;2;5;2;5;2;5;2;-67,14483126;-12,532439;-67,77196876;-12,537343;7;3;;"14;14";3;2;1;08:10;09:00;08:35;50;2;2;10;3;1;;;;;0
100180;10018002;1001800203;1;6;3;6;3;6;3;-67,77196876;-12,537343;-67,14483126;-12,532439;8;3;;14;3;2;1;15:30;16:10;15:50;40;2;5;0;0;1;;;;;0
100180;10018002;1001800204;2;7;4;7;4;7;4;-67,14483126;-12,532439;-67,77196876;-12,537343;7;3;;"14;14";3;2;1;16:20;17:00;16:40;40;2;5;10;3;1;;;;;0
100180;10018003;1001800301;1;8;5;8;5;8;5;-67,77196876;-12,537343;-70,27091876;-12,580128;3;2;;14;3;2;1;15:00;16:15;15:38;75;3;5;8;3;1;;;;;0
100180;10018003;1001800302;1;9;6;9;6;9;6;-70,27091876;-12,580128;-67,77196876;-12,537343;7;2;;14;3;2;1;20:15;22:00;21:08;105;4;5;9;3;1;;;;;0
100180;10018004;1001800401;1;1;7;1;7;1;7;-67,77196876;-12,537343;-67,14483126;-12,532439;3;2;;14;3;2;1;07:30;08:00;07:45;30;1;2;0;0;1;;;;;0
100180;10018004;1001800402;2;2;8;2;8;2;8;-67,14483126;-12,532439;-67,77196876;-12,537343;7;2;;"14;14";3;2;1;16:20;17:00;16:40;40;2;5;10;3;1;;;;;0
100192;10019201;1001920101;1;3;9;3;9;3;9;-67,6037625;-12,532849;-68,79053126;-12,594696;12;3;;14;3;2;1;09:00;09:50;09:25;50;2;5;8;2;1;;;;;0
100192;10019201;1001920102;1;4;1;4;1;4;1;-68,79053126;-12,594696;-67,6037625;-12,532849;7;3;;14;3;2;1;14:00;15:10;14:35;70;3;5;4;2;1;;;;;0
100200;10020001;1002000101;1;5;2;5;2;5;2;-67,74261876;-12,530686;-67,7876375;-12,53218;1;1;5;5;5;2;1;06:30;06:45;06:38;15;1;1;0;0;1,14387994;;;;;0
100200;10020001;1002000102;1;6;3;6;3;6;3;-67,7876375;-12,53218;-67,74261876;-12,530686;7;1;;5;5;2;1;13:30;14:00;13:45;30;1;5;0;0;1,48210391;;;;;0
100010;10001001;1000100101;1;7;4;7;4;7;4;;;;;1;1;6;8;17;5;2;15:00;15:02;15:01;2;1;5;2;1;;;1,48210391;;;
100010;10001001;1000100102;1;8;5;8;5;8;5;;;;;7;1;;8;17;5;2;20:00;20:02;20:01;2;1;4;2;1;;;1,48210391;;;
100010;10001002;1000100201;1;9;6;9;6;9;6;;;;;11;3;;8;17;5;2;11:30;11:36;11:33;6;1;3;6;3;;;1,48210391;;;
100010;10001002;1000100202;1;1;7;1;7;1;7;;;;;11;3;;8;17;5;2;12:06;12:07;12:07;1;1;5;1;1;;;1,48210391;;;
100010;10001002;1000100203;1;2;8;2;8;2;8;;;;;7;3;;8;17;5;2;12:13;12:17;12:15;4;1;5;5;3;;;1,48210391;;;
100010;10001002;1000100204;1;3;9;3;9;3;9;;;;;11;3;;8;17;5;2;18:00;18:15;18:08;15;1;4;15;4;;;1,48210391;;;
100010;10001002;1000100205;1;4;1;4;1;4;1;;;;;7;3;;8;17;5;2;18:17;18:35;18:26;18;1;4;15;4;;;1,48210391;;;
100020;10002001;1000200101;1;5;2;5;2;5;2;-67,68204376;-12,531214;-67,8336625;-12,532311;12;3;;8;17;5;2;11:30;12:05;11:48;35;2;3;35;8;1,48210391;;;;;0
100020;10002001;1000200102;1;6;3;6;3;6;3;-67,8336625;-12,532311;-67,67793126;-12,52979;7;3;;8;17;5;2;12:20;13:30;12:55;70;3;5;70;8;1,48210391;;;;;0
100020;10002001;1000200103;1;7;4;7;4;7;4;;;;;11;3;;8;17;5;2;19:00;19:07;19:03;7;1;4;7;2;1,48210391;;;;;0
100020;10002001;1000200104;1;8;5;8;5;8;5;;;;;7;3;;8;17;5;2;19:10;19:17;19:14;7;1;4;7;2;1,48210391;;;;;0
100020;10002002;1000200201;1;9;6;9;6;9;6;-67,68204376;-12,531214;-67,48565626;-12,531961;1;1;1;11;16;3;1;05:05;05:45;05:25;40;2;6;0;0;1;;;;;0
100020;10002002;1000200202;1;1;7;1;7;1;7;-67,48565626;-12,531961;-67,67793126;-12,52979;7;1;;5;5;2;1;15:00;15:30;15:15;30;1;5;30;6;1,48210391;;;;;0
100020;10002003;1000200301;1;2;8;2;8;2;8;-67,68204376;-12,531214;-64,69859376;-12,528244;1;1;1;1;1;1;1;07:40;08:50;08:15;70;3;2;0;0;1,04307354;;;;;0
100020;10002003;1000200302;1;3;9;3;9;3;9;-64,69859376;-12,528244;-67,67793126;-12,52979;7;1;;1;1;1;1;19:10;20:00;19:35;50;2;4;0;0;1,14387994;;;;;0
100020;10002004;1000200401;1;4;1;4;1;4;1;-67,68204376;-12,531214;-67,339175;-12,531827;1;1;1;5;5;2;1;07:30;08:00;07:45;30;1;2;0;0;1,14387994;;;;;0
100020;10002004;1000200402;1;5;2;5;2;5;2;-67,339175;-12,531827;-67,67793126;-12,52979;7;1;;5;5;2;1;19:30;20:15;19:53;45;2;4;15;5;1,14387994;;;;;0
100020;10002005;1000200501;1;6;3;6;3;6;3;-67,68204376;-12,531214;-68,10836876;-12,531717;1;1;1;9;18;5;2;07:40;08:00;07:50;20;1;2;;;1,14387994;;;;;0
100020;10002005;1000200502;1;7;4;7;4;7;4;-68,10836876;-12,531717;-67,67793126;-12,52979;7;1;;9;18;5;2;17:30;17:55;17:43;25;1;4;;;1,48210391;;;;;0
100020;10002005;1000200503;1;8;5;8;5;8;5;-67,67793126;-12,52979;-67,78726876;-12,532643;3;2;;8;17;5;2;18:00;18:40;18:20;40;2;4;40;8;1,48210391;;;;;0
100020;10002005;1000200504;1;9;6;9;6;9;6;-67,78726876;-12,532643;-67,67793126;-12,52979;7;2;;8;17;5;2;22:30;22:55;22:43;25;1;5;25;8;1,48210391;;;;;0
100020;10002005;1000200505;1;1;7;1;7;1;7;-67,67793126;-12,52979;-67,86470626;-12,533373;6;3;;9;18;5;2;23:10;23:20;23:15;10;1;6;;;1,48210391;;;;;0
100030;10003001;1000300101;1;2;8;2;8;2;8;-65,5727625;-12,5156;-67,7323125;-12,532432;12;3;;5;5;2;1;09:00;09:30;09:15;30;1;5;0;0;1,48210391;;;;;0
100030;10003001;1000300102;1;3;9;3;9;3;9;-67,7323125;-12,532432;-65,5727625;-12,5156;7;3;;5;5;2;1;11:00;11:33;11:16;33;2;3;0;0;1,48210391;;;;;0
100041;10004101;1000410101;1;4;1;4;1;4;1;-65,5728;-12,5156;-67,76233126;-12,531855;5;3;;5;5;2;1;09:00;10:30;09:45;90;3;5;0;0;1,48210391;;;;;0
100041;10004101;1000410102;1;5;2;5;2;5;2;-67,76233126;-12,531855;-65,5728;-12,5156;7;3;;5;5;2;1;15:00;15:30;15:15;30;1;5;0;0;1,48210391;;;;;0
100041;10004102;1000410201;1;6;3;6;3;6;3;;;;;1;1;1;9;18;5;2;07:30;07:45;07:38;15;1;2;0;0;1,14387994;;;;;0
100041;10004102;1000410202;1;7;4;7;4;7;4;;;;;7;1;;9;18;5;2;18:30;18:50;18:40;20;1;4;0;0;1,48210391;;;;;0
100041;10004103;1000410301;1;8;5;8;5;8;5;-65,5728;-12,5156;-67,81274376;-12,532155;12;3;;5;5;2;1;10:30;11:30;11:00;60;2;3;2;1;1,48210391;;;;;0
100041;10004103;1000410302;1;9;6;9;6;9;6;-67,81274376;-12,532155;-65,5728;-12,5156;7;3;;5;5;2;1;18:00;18:33;18:16;33;2;4;2;1;1,14387994;;;;;0
100041;10004104;1000410401;1;1;7;1;7;1;7;-65,5728;-12,5156;-66,568225;-12,52464;1;1;5;5;5;2;1;07:00;07:30;07:15;30;1;1;0;0;1,14387994;;;;;0
100041;10004104;1000410402;1;2;8;2;8;2;8;-66,568225;-12,52464;-65,5728;-12,5156;7;1;;5;5;2;1;17:30;17:50;17:40;20;1;4;0;0;1,14387994;;;;;0
100041;10004105;1000410501;3;3;9;3;9;3;9;-65,5728;-12,5156;-70,28153126;-12,580126;3;2;;"5;12;4";13;2;1;07:00;10:00;08:30;180;6;2;7;2;1;;;;;0
100041;10004105;1000410502;3;4;1;4;1;4;1;-70,28153126;-12,580126;-65,5728;-12,5156;7;2;;"4;12;5";13;2;1;17:00;19:00;18:00;120;4;4;3;1;1,05276356;;;;;0
100052;10005201;1000520101;1;5;2;5;2;5;2;-67,6961625;-12,534594;-69,14025626;-12,597778;1;1;5;14;3;2;1;06:00;07:30;06:45;90;3;1;10;4;1;;;;;0
100052;10005201;1000520102;1;6;3;6;3;6;3;-69,14025626;-12,597778;-67,6961625;-12,534594;7;1;;14;3;2;1;21:00;22:00;21:30;60;2;5;8;4;1;;;;;0
100052;10005203;1000520301;1;7;4;7;4;7;4;-67,6961625;-12,534594;-67,76681876;-12,532963;4;2;;6;16;3;1;08:15;08:30;08:23;15;1;2;;;1;;;;;0
100052;10005203;1000520302;1;8;5;8;5;8;5;-67,76681876;-12,532963;-67,6961625;-12,534594;7;2;;6;16;3;1;15:30;16:00;15:45;30;1;5;;;1;;;;;0
100061;10006102;1000610201;1;9;6;9;6;9;6;;;;;1;1;5;9;18;5;2;07:00;07:10;07:05;10;1;1;0;0;1,14387994;;;;;0
100061;10006102;1000610202;1;1;7;1;7;1;7;;;;;7;1;;9;18;5;2;17:30;17:40;17:35;10;1;4;0;0;1,48210391;;;;;0
100061;10006103;1000610301;1;2;8;2;8;2;8;-67,70409376;-12,534487;-67,761625;-12,532219;1;1;2;5;5;2;1;08:00;08:15;08:08;15;1;2;3;2;1,14387994;;;;;0
100061;10006103;1000610302;1;3;9;3;9;3;9;-67,761625;-12,532219;-67,70409376;-12,534487;7;1;;8;17;5;2;14:00;14:20;14:10;20;1;5;20;4;1,48210391;;;;;0
100070;10007001;1000700101;1;4;1;4;1;4;1;-67,73445626;-12,534697;-67,8085625;-12,533256;12;3;;1;1;1;1;10:00;10:05;10:03;5;1;3;0;0;1,48210391;;;;;0
100070;10007001;1000700102;1;5;2;5;2;5;2;-67,8085625;-12,533256;-67,84384376;-12,531601;12;3;;1;1;1;1;10:20;10:30;10:25;10;1;3;0;0;1,48210391;;;;;0
100070;10007001;1000700103;1;6;3;6;3;6;3;-67,84384376;-12,531601;-67,73445626;-12,534697;7;3;;1;1;1;1;11:00;11:15;11:08;15;1;3;0;0;1,48210391;;;;;0
100070;10007001;1000700104;1;7;4;7;4;7;4;-67,73445626;-12,534697;-67,8085625;-12,533256;12;3;;1;1;1;1;17:00;17:05;17:02;5;1;5;0;0;1,48210391;;;;;0
100070;10007001;1000700105;1;8;5;8;5;8;5;-67,8085625;-12,533256;-67,73445626;-12,534697;7;3;;1;1;1;1;17:20;17:25;17:23;5;1;5;0;0;1,48210391;;;;;0
100070;10007001;1000700106;1;9;6;9;6;9;6;-67,73445626;-12,534697;-67,813425;-12,53459;2;1;5;1;1;1;1;18:45;18:50;18:47;5;1;4;0;0;1,14387994;;;;;0
100070;10007001;1000700107;1;1;7;1;7;1;7;-67,813425;-12,53459;-67,73445626;-12,534697;7;1;;1;1;1;1;20:30;20:40;20:35;10;1;5;0;0;1,48210391;;;;;0
100070;10007001;1000700108;1;2;8;2;8;2;8;-67,73445626;-12,534697;-67,762075;-12,53602;2;1;5;1;1;1;1;21:15;21:20;21:17;5;1;5;0;0;1,48210391;;;;;0
100070;10007001;1000700109;1;3;9;3;9;3;9;-67,762075;-12,53602;-67,73445626;-12,534697;7;1;;1;1;1;1;23:15;23:20;23:17;5;1;6;0;0;1,48210391;;;;;0
100082;10008201;1000820101;1;4;1;4;1;4;1;-67,7847;-12,532978;-68,24673126;-12,554564;11;3;;14;3;2;1;09:00;09:20;09:10;20;1;5;4;2;1;;;;;0
100082;10008201;1000820102;1;5;2;5;2;5;2;-68,24673126;-12,554564;-67,7847;-12,532978;7;3;;14;3;2;1;15:00;15:27;15:14;27;1;5;5;2;1;;;;;0
100090;10009001;1000900101;3;6;3;6;3;6;3;-67,89450626;-12,525483;-69,3558;-12,587667;5;3;;"5;14;7";16;4;1;14:00;15:10;14:35;70;3;5;2;1;1;;;;;0
100090;10009001;1000900102;2;7;4;7;4;7;4;-69,3558;-12,587667;-67,89450626;-12,525483;7;3;;"14;5";16;2;1;16:00;17:35;16:47;95;4;5;0;0;1;;;;;0
100090;10009002;1000900201;1;8;5;8;5;8;5;-67,89450626;-12,525483;-67,707075;-12,532469;1;1;4;5;5;2;1;08:00;08:15;08:08;15;1;2;0;0;1,14387994;;;;;0
